,output,equation_number,eqn,soln
0,HIT te0 w/ (lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)) ; log prior = -3.790670 ; log likelihood = 0.000000,0,(= (/ (1) (2)) (x)),(lambda (#(lambda (_swap $0 0)) $0))
86,HIT te201 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) (mathDomain_add $0 mathDomain_6))) ; log prior = -6.486594 ; log likelihood = 0.000000,201,(= (-1) (- (* (2) (x)) (3))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))) (_add $0 6)))
87,HIT te205 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_div (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0) mathDomain_3))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (#(lambda (mathDomain_swap $0 mathDomain_2)) $0)))) ; log prior = -10.340710 ; log likelihood = 0.000000,205,(= (+ (+ (-1) (* (2) (x))) (3)) (+ (4) (5))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_div (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0) 3))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (_swap $0 0)) $0))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (#(lambda (_swap $0 2)) $0))))
88,HIT te207 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) (mathDomain_add $0 mathDomain_6))) ; log prior = -6.568765 ; log likelihood = 0.000000,207,(= (-1) (- (* (-2) (x)) (3))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))) (_add $0 6)))
89,HIT te209 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_div (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0) mathDomain_3))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) $0))) $0)) ; log prior = -4.101575 ; log likelihood = 0.000000,209,(= (-1) (+ (2) (* (-3) (x)))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_div (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0) 3))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (_swap $0 2)) $0))) $0))
90,HIT te218 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_div (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0) mathDomain_3))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) $0))) $0)) ; log prior = -4.140886 ; log likelihood = 0.000000,218,(= (1) (+ (-2) (* (3) (x)))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_div (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0) 3))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (_swap $0 2)) $0))) $0))
91,HIT te219 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_div (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0) mathDomain_3))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) $0)) ; log prior = -2.739613 ; log likelihood = 0.000000,219,(= (+ (1) (* (2) (x))) (-3)),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_div (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0) 3))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) $0))
92,HIT te220 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) (#(lambda (mathDomain_swap $0 mathDomain_2)) $0))) ; log prior = -8.089902 ; log likelihood = 0.000000,220,(= (+ (/ (1) (x)) (2)) (3)),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) (#(lambda (_swap $0 2)) $0)))
93,HIT te224 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0)) ; log prior = -3.997621 ; log likelihood = 0.000000,224,(= (+ (* (1) (x)) (2)) (3)),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0))
94,HIT te225 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) (mathDomain_mult $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) $0)) ; log prior = -3.572640 ; log likelihood = 0.000000,225,(= (+ (-1) (/ (2) (x))) (-3)),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) (_mult $0 4))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (_swap $0 2)) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))) $0))
95,HIT te226 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_div (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0) mathDomain_3))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) $0))) $0)) ; log prior = -4.743241 ; log likelihood = 0.000000,226,(= (1) (+ (2) (* (-3) (x)))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_div (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0) 3))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (_swap $0 2)) $0))) $0))
96,HIT te229 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))) ; log prior = -8.512779 ; log likelihood = 0.000000,229,(= (-1) (+ (* (-2) (x)) (* (3) (x)))),(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (#(lambda (_swap $0 0)) $0)))
97,HIT te230 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) (mathDomain_mult $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) $0)) ; log prior = -3.575898 ; log likelihood = 0.000000,230,(= (+ (1) (/ (-2) (x))) (3)),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) (_mult $0 4))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (_swap $0 2)) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))) $0))
98,HIT te236 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) $0)) ; log prior = -2.658922 ; log likelihood = 0.000000,236,(= (-1) (* (-2) (x))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))) $0))
99,HIT te239 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) (mathDomain_mult $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) $0))) $0)) ; log prior = -3.924649 ; log likelihood = 0.000000,239,(= (-1) (+ (2) (/ (3) (x)))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) (_mult $0 4))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (_swap $0 2)) $0))) $0))
100,HIT te253 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) $0)) ; log prior = -4.536561 ; log likelihood = 0.000000,253,(= (* (-1) (x)) (2)),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))) $0))
101,HIT te255 w/ (lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)) ; log prior = -4.691038 ; log likelihood = 0.000000,255,(= (/ (-1) (-2)) (x)),(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))
102,HIT te257 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_div (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0) mathDomain_3))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) $0)) ; log prior = -2.730201 ; log likelihood = 0.000000,257,(= (+ (-1) (* (-2) (x))) (3)),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_div (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0) 3))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) $0))
103,HIT te258 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_div (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0) mathDomain_3))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) ; log prior = -8.056340 ; log likelihood = 0.000000,258,(= (- (-1) (2)) (- (+ (* (-3) (x)) (4)) (5))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_div (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0) 3))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0)))
